model,dataset,accuracy,train_accuracy,generalization_gap,training_time,timestamp
SVM_Parity,parity4d,0.25,0.75,0.5,0.0157,2026-01-14T03:32:42Z
QSVM_Parity,parity4d,0.375,1.0,0.625,0.2277,2026-01-14T03:33:21Z
SVM_Parity,parity4d_stressed,0.25,0.875,0.625,0.0,2026-01-14T03:35:10Z
QSVM_Parity,parity4d_stressed,0.375,1.0,0.625,0.1865,2026-01-14T03:37:00Z
SVM_Parity,parity6d,0.3125,0.6875,0.375,0.0,2026-01-14T03:38:28Z
QSVM_Parity,parity6d,0.96875,1.0,0.0312,7.0612,2026-01-14T03:39:16Z
SVM_Parity,parity6d_stressed,0.375,0.6875,0.3125,0.0,2026-01-14T03:40:33Z
QSVM_Parity,parity6d_stressed,0.53125,1.0,0.4688,7.0474,2026-01-14T03:41:24Z
SVM_BreastCancer,breast_cancer,0.9473684210526315,0.9773869346733668,0.03,0.0171,2026-01-16T00:52:01Z
SVM_BreastCancer_PCA,breast_cancer,0.9649122807017544,0.9321608040201005,-0.0328,0.0073,2026-01-16T04:02:50Z
QSVM_BreastCancer_PCA,breast_cancer,0.5847953216374269,0.7989949748743719,0.2142,593.1566,2026-01-16T04:37:18Z
